loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
1,0,2018-01,2018-01,1,360,278333.1011414365,278333.1011414365,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DELINQUENT,62,1,0,0,LOW,2018-01-01,INVESTOR_SYSTEM,COMPLETE,1,1,1,0,PREPAID,0,NONE
1,1,2018-02,2018-01,2,359,278333.1011414365,277638.47271128045,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DELINQUENT,92,0,0,0,LOW,2018-02-01,Servicer_D_SYSTEM,COMPLETE,1,1,1,0,DEFAULT,1,DELINQUENCY_ALERT
1,2,2018-03,2018-01,3,358,278333.1011414365,277127.03403223876,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DELINQUENT,119,0,0,0,LOW,2018-03-01,INVESTOR_SYSTEM,COMPLETE,1,1,1,0,DEFAULT,1,DELINQUENCY_ALERT
1,3,2018-04,2018-01,4,357,278333.1011414365,276253.38188213704,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DELINQUENT,62,0,0,0,LOW,2018-04-01,Servicer_D_SYSTEM,COMPLETE,1,1,1,0,CURRENT,0,NONE
1,4,2018-05,2018-01,5,356,278333.1011414365,275571.0273362761,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DELINQUENT,68,0,0,0,LOW,2018-05-01,Servicer_D_SYSTEM,COMPLETE,1,1,1,0,PREPAID,0,NONE
1,5,2018-06,2018-01,6,355,278333.1011414365,275244.2400886589,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DELINQUENT,106,0,0,0,LOW,2018-06-01,Servicer_D_SYSTEM,COMPLETE,1,1,1,0,DELINQUENT,1,DELINQUENCY_ALERT
1,6,2018-07,2018-01,7,354,278333.1011414365,274603.3744776567,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DELINQUENT,63,0,0,0,LOW,2018-07-01,Servicer_D_SYSTEM,INCOMPLETE,0,1,0,1,PREPAID,0,NONE
1,7,2018-08,2018-01,8,353,278333.1011414365,273927.2261075859,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DEFAULT,150,0,0,1,MEDIUM,2018-08-01,INVESTOR_SYSTEM,COMPLETE,0,1,0,0,CURRENT,1,DELINQUENCY_ALERT
1,8,2018-09,2018-01,9,352,278333.1011414365,273829.14678340004,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,SECOND_HOME,CONDO,Servicer_D,DEFAULT,150,0,0,1,HIGH,2018-09-01,INVESTOR_SYSTEM,COMPLETE,0,0,1,0,DEFAULT,1,DELINQUENCY_ALERT
2,0,2018-01,2018-01,1,240,445241.3703502374,445241.3703502374,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,PRIMARY,MULTI_FAMILY,Servicer_A,CURRENT,0,0,0,0,LOW,2018-01-01,Servicer_A_SYSTEM,COMPLETE,0,0,0,0,CURRENT,0,NONE
2,1,2018-02,2018-01,2,239,445241.3703502374,443674.9631525278,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,PRIMARY,MULTI_FAMILY,Servicer_A,CURRENT,0,0,0,0,LOW,2018-02-01,Servicer_A_SYSTEM,COMPLETE,0,0,0,0,PREPAID,0,NONE
2,2,2018-03,2018-01,3,238,445241.3703502374,442171.8686171673,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,PRIMARY,MULTI_FAMILY,Servicer_A,CURRENT,0,0,0,0,LOW,2018-03-01,INVESTOR_SYSTEM,COMPLETE,0,0,0,0,PREPAID,0,NONE
2,3,2018-04,2018-01,4,237,445241.3703502374,440678.9091572859,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,PRIMARY,MULTI_FAMILY,Servicer_A,CURRENT,0,0,0,0,LOW,2018-04-01,Servicer_A_SYSTEM,COMPLETE,0,1,0,0,PREPAID,0,NONE
2,4,2018-05,2018-01,5,236,445241.3703502374,438722.2070574642,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,PRIMARY,MULTI_FAMILY,Servicer_A,CURRENT,0,0,0,0,LOW,2018-05-01,Servicer_A_SYSTEM,COMPLETE,0,0,0,0,PREPAID,0,NONE
2,5,2018-06,2018-01,6,235,445241.3703502374,438094.1910295588,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,PRIMARY,MULTI_FAMILY,Servicer_A,CURRENT,0,0,0,0,LOW,2018-06-01,Servicer_A_SYSTEM,COMPLETE,0,0,0,0,DEFAULT,0,NONE
2,6,2018-07,2018-01,7,234,445241.3703502374,436730.12978733756,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,PRIMARY,MULTI_FAMILY,Servicer_A,CURRENT,0,1,0,0,LOW,2018-07-01,Servicer_A_SYSTEM,COMPLETE,0,0,0,1,CURRENT,0,NONE
