loan_id,origination_date,original_balance,loan_term_months,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,property_type,occupancy_type
1,2018-01,278333.1011414365,180,2.9998745790900143,750+,LTV_90-100,DTI_50-63,OH,PURCHASE,CONDO,SECOND_HOME
2,2018-01,445241.3703502374,240,5.61649063413779,600-650,LTV_0-60,DTI_63+,TX,PURCHASE,MULTI_FAMILY,PRIMARY
3,2018-01,264414.80532729253,360,2.665253664502742,0-600,LTV_60-70,DTI_36-50,IL,REFINANCE,CONDO,PRIMARY
4,2018-01,138470.6204365683,180,7.20261632244802,650-700,LTV_80-90,DTI_63+,FL,REFINANCE,CONDO,SECOND_HOME
5,2018-01,240031.36307787028,180,5.725516810152824,650-700,LTV_70-80,DTI_36-50,PA,PURCHASE,MULTI_FAMILY,SECOND_HOME
6,2018-01,111046.70874948188,180,5.394324477537793,700-750,LTV_70-80,DTI_50-63,CA,REFINANCE,MULTI_FAMILY,INVESTMENT
7,2018-01,123277.43820337745,180,7.076068638132402,0-600,LTV_80-90,DTI_0-36,MI,REFINANCE,MULTI_FAMILY,PRIMARY
8,2018-01,372645.4675891159,180,4.2031228473212,600-650,LTV_90-100,DTI_36-50,TX,PURCHASE,SINGLE_FAMILY,SECOND_HOME
9,2018-01,416631.6174903394,360,6.4480907139727694,750+,LTV_80-90,DTI_0-36,IL,PURCHASE,CONDO,PRIMARY
10,2018-01,217797.57873577194,240,7.479156875146853,0-600,LTV_0-60,DTI_36-50,TX,REFINANCE,MULTI_FAMILY,PRIMARY
11,2018-01,440872.600127416,360,5.259534193872428,650-700,LTV_70-80,DTI_36-50,GA,REFINANCE,MULTI_FAMILY,INVESTMENT
12,2018-01,151032.1211182255,240,3.9188795289936222,600-650,LTV_0-60,DTI_63+,NC,REFINANCE,CONDO,SECOND_HOME
13,2018-01,398389.81021948723,360,4.542591464679584,0-600,LTV_90-100,DTI_36-50,GA,PURCHASE,MULTI_FAMILY,SECOND_HOME
14,2018-01,390438.23442496033,360,5.4648145262941075,0-600,LTV_0-60,DTI_50-63,MI,REFINANCE,MULTI_FAMILY,INVESTMENT
15,2018-01,288826.7780439997,240,5.324205666313082,0-600,LTV_90-100,DTI_0-36,TX,REFINANCE,SINGLE_FAMILY,INVESTMENT
16,2018-01,367234.05462825845,180,3.524921477079105,650-700,LTV_80-90,DTI_63+,GA,PURCHASE,MULTI_FAMILY,INVESTMENT
17,2018-01,326310.64798662416,180,7.426836561208673,700-750,LTV_0-60,DTI_36-50,NY,REFINANCE,MULTI_FAMILY,SECOND_HOME
18,2018-01,330606.5902057014,360,3.87027610343603,600-650,LTV_90-100,DTI_36-50,NY,PURCHASE,MULTI_FAMILY,SECOND_HOME
19,2018-01,480094.94152832095,180,4.730028864789778,0-600,LTV_90-100,DTI_0-36,TX,REFINANCE,CONDO,SECOND_HOME
20,2018-01,253730.65886387267,180,5.89823641346535,750+,LTV_0-60,DTI_50-63,NY,PURCHASE,SINGLE_FAMILY,PRIMARY
21,2018-01,484526.11527396296,180,4.827350043849918,700-750,LTV_90-100,DTI_50-63,NC,REFINANCE,CONDO,SECOND_HOME
22,2018-01,408368.7378576208,180,6.723916140584438,750+,LTV_90-100,DTI_63+,GA,REFINANCE,SINGLE_FAMILY,PRIMARY
23,2018-01,258206.0679396061,180,5.530943567805858,700-750,LTV_60-70,DTI_0-36,GA,PURCHASE,SINGLE_FAMILY,SECOND_HOME
24,2018-01,392331.7899483505,240,3.2808192239608696,600-650,LTV_90-100,DTI_0-36,FL,REFINANCE,CONDO,INVESTMENT
25,2018-01,368038.4138443767,180,7.148029387109946,700-750,LTV_90-100,DTI_63+,PA,REFINANCE,SINGLE_FAMILY,INVESTMENT
26,2018-01,286082.24491348723,240,2.800711713003926,650-700,LTV_60-70,DTI_50-63,OH,REFINANCE,SINGLE_FAMILY,INVESTMENT
27,2018-01,302443.02193870035,360,3.6627567918269004,600-650,LTV_90-100,DTI_36-50,NC,PURCHASE,SINGLE_FAMILY,PRIMARY
28,2018-01,264852.37210510863,240,5.248080218594622,700-750,LTV_70-80,DTI_50-63,FL,PURCHASE,CONDO,SECOND_HOME
29,2018-01,396939.2202290037,180,6.5755919224018395,650-700,LTV_0-60,DTI_36-50,GA,REFINANCE,MULTI_FAMILY,INVESTMENT
30,2018-01,436773.4267167235,360,3.4305070892313867,600-650,LTV_70-80,DTI_0-36,IL,REFINANCE,MULTI_FAMILY,SECOND_HOME
31,2018-01,179239.05310389603,180,5.326651272858049,750+,LTV_70-80,DTI_50-63,NC,REFINANCE,MULTI_FAMILY,PRIMARY
32,2018-01,285572.5507249331,360,7.046101029307801,600-650,LTV_0-60,DTI_63+,NC,REFINANCE,SINGLE_FAMILY,INVESTMENT
33,2018-01,346119.2100279208,360,2.9173204249469165,750+,LTV_80-90,DTI_36-50,OH,REFINANCE,CONDO,PRIMARY
34,2018-01,221578.56049628952,240,5.765813952656416,750+,LTV_70-80,DTI_0-36,TX,REFINANCE,CONDO,PRIMARY
35,2018-01,113868.10669059333,240,5.414034175417449,750+,LTV_0-60,DTI_63+,PA,REFINANCE,CONDO,SECOND_HOME
36,2018-01,369843.1411664865,240,3.98363820552045,750+,LTV_90-100,DTI_63+,CA,REFINANCE,SINGLE_FAMILY,SECOND_HOME
37,2018-01,251564.11122352575,180,2.5335519515203,750+,LTV_60-70,DTI_63+,GA,PURCHASE,CONDO,SECOND_HOME
38,2018-01,340846.7941419118,180,5.457033797112441,600-650,LTV_80-90,DTI_50-63,CA,PURCHASE,CONDO,INVESTMENT
39,2018-01,341397.23841735144,360,4.289070420567745,0-600,LTV_90-100,DTI_0-36,OH,PURCHASE,SINGLE_FAMILY,PRIMARY
40,2018-01,410138.4601612542,180,3.857046902233572,700-750,LTV_90-100,DTI_50-63,IL,PURCHASE,MULTI_FAMILY,INVESTMENT
41,2018-01,415572.9887104029,360,6.959360724053674,600-650,LTV_80-90,DTI_63+,CA,PURCHASE,CONDO,PRIMARY
