Model,Type,Target,ROC-AUC,PR-AUC,F1,Recall,Precision,Brier,Accuracy,Training Time (s)
Baseline,baseline,next_3m_delinquency_flag,0.5,0.6056,0.0,0.0,0.0,0.2112,0.7888,
CatBoost_next_3m_delinquency_flag,catboost,next_3m_delinquency_flag,0.7897,0.6242,0.645,0.5675,0.7471,0.1487,0.8681,
Baseline,baseline,next_6m_delinquency_flag,0.5,0.6321,0.0,0.0,0.0,0.2641,0.7359,
CatBoost_next_6m_delinquency_flag,catboost,next_6m_delinquency_flag,0.7221,0.6,0.5849,0.4714,0.7703,0.1434,0.8233,
Baseline,baseline,next_12m_default_flag,0.5,0.5573,0.0,0.0,0.0,0.1146,0.8854,
CatBoost_next_12m_default_flag,catboost,next_12m_default_flag,0.7825,0.4917,0.4449,0.3438,0.6306,0.1185,0.9018,
Baseline,baseline,next_12m_prepayment_flag,0.5,0.5416,0.0,0.0,0.0,0.0833,0.9167,
CatBoost_next_12m_prepayment_flag,catboost,next_12m_prepayment_flag,0.5016,0.0827,0.0,0.0,0.0,0.1688,0.9167,
Baseline,baseline,exception_required,0.5,0.5694,0.0,0.0,0.0,0.1388,0.8612,
CatBoost_exception_required,catboost,exception_required,1.0,1.0,1.0,1.0,1.0,0.1551,1.0,
